Designator,Footprint,Center X (mm),Center Y (mm),Rotation,Layer
R_EN_PU,10k,160.00,68.00,0,T
R_BOOT_PU,10k,163.00,68.00,0,T
R_BOOT_OK_PU,10k,166.00,68.00,0,T
LED_PWR,LED,155.00,50.00,0,T
R_LED_PWR,1.5k,152.00,50.00,0,T
LED_WIFI,LED,155.00,53.00,0,T
R_LED_WIFI,1.5k,152.00,53.00,0,T
LED_MQTT,LED,155.00,56.00,0,T
R_LED_MQTT,1.5k,152.00,56.00,0,T
LED_ERROR,LED,155.00,59.00,0,T
R_LED_ERROR,1.5k,152.00,59.00,0,T
R_DHT_SER,100R,40.00,45.00,0,T
R_DS_SER,100R,40.00,55.00,0,T
R_VSENSE_SER,1k,170.00,72.00,0,T
J_USB,USB Micro-B,25.00,30.00,0,T
F_USB,PTC 500mA,32.00,30.00,0,T
D_TVS_USB,SMBJ5.0A,39.00,30.00,0,T
R_USB_LIM,2.2R,46.00,30.00,0,T
ESD_USB,USBLC6-2SC6,53.00,30.00,0,T
U_USB_UART,CP2102-GMR,35.00,53.00,0,T
Q_RST,BC847,40.00,60.00,0,T
R_USB_DTR,1k,37.00,60.00,0,T
Q_BOOT,BC847,40.00,65.00,0,T
R_USB_RTS,1k,37.00,65.00,0,T
U_WD,TPL5010DDCT,50.00,58.00,0,T
R_WD_RT,49.9k 1%,58.00,58.00,0,T
R_WD_DONE_PU,10k,47.00,61.00,0,T
R_WD_WAKE,10k,55.00,61.00,0,T
C_WD_FILT,100nF,50.00,64.00,0,T
D_RST,BAT54S,55.00,60.00,0,T
R_RELAY_LIM,0.5R 1W,15.00,88.00,0,T
C_RELAY_BULK,1000uF 16V,28.00,88.00,0,T
D_RELAY_TVS,SMBJ5.0A,40.00,88.00,0,T
